Pavilion,Module,Item,Sub Item,Requirement,Technical Note,Role Description,Implementation Level,Verified,Urgent,Last Updated,Owner Team,Estimated Resolution Time,Operational Status
SOFA 2026 Pavilion D - Maker Lab,Furniture Deployment,Power drop mapping,,Check verification workflow status,Simulated note: field observation added for audit traceability.,Pavilion coordinator,Implemented,Yes,No,2026-05-25T18:13,Technical Production,59 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Signal Routing,Table and chair setup,,Update technical note for field team,Simulated note: dependency requires module-level review.,Field operations lead,Implemented,No,Yes,2026-06-13T23:44,Infrastructure,51 hours,At Risk
SOFA 2026 Pavilion F - Food Court,Safety Inspection,Directional signage,Control point,Check verification workflow status,Simulated note: verification can proceed after handoff evidence.,Field operations lead,In Progress,No,No,2026-04-04T22:35,Exhibitor Services,18 hours,Pending Verification
SOFA 2026 Pavilion G - Auditorium,Safety Inspection,Cable protection,Secondary aisle,Validate logistics dashboard record consistency,Simulated note: no production source connected in this public dataset.,Operational audit analyst,Implemented,Yes,Yes,2026-04-05T04:16,Safety Review,7 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Safety Inspection,Cable protection,Secondary aisle,Update technical note for field team,Simulated note: no production source connected in this public dataset.,Pavilion coordinator,In Progress,No,No,2026-04-11T20:57,Venue Logistics,57 hours,On Track
SOFA 2026 Pavilion B - Artist Alley,Signal Routing,Directional signage,Control point,Review sparse hierarchy assignment,Simulated note: verification can proceed after handoff evidence.,Implementation tracker,Verified,Yes,No,2026-05-01T18:52,Operations Control,6 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Safety Inspection,Directional signage,Public-facing desk,Review sparse hierarchy assignment,Simulated note: no production source connected in this public dataset.,Pavilion coordinator,Planned,No,No,2026-05-29T19:28,Operations Control,11 hours,Blocked
SOFA 2026 Pavilion D - Maker Lab,Signal Routing,Stand readiness,Main aisle,Review sparse hierarchy assignment,Simulated note: field observation added for audit traceability.,Pavilion coordinator,Not Started,Yes,Yes,2026-04-27T09:27,Infrastructure,32 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Safety Inspection,Operational briefing,Back wall,Document operational audit evidence,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,Planned,No,No,2026-04-23T09:44,Operations Control,69 hours,At Risk
SOFA 2026 Pavilion F - Food Court,Queue Management,Cable protection,Zone marker,Validate logistics dashboard record consistency,Simulated note: dependency requires module-level review.,Field operations lead,Planned,No,No,2026-05-21T08:02,Operations Control,50 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Safety Inspection,Stand readiness,Zone marker,Resolve urgent requirement before pavilion handoff,Simulated note: verification can proceed after handoff evidence.,Pavilion coordinator,Planned,No,No,2026-06-13T04:49,Safety Review,8 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Safety Inspection,Operational briefing,,Document operational audit evidence,Simulated note: no production source connected in this public dataset.,Pavilion coordinator,In Progress,No,Yes,2026-05-25T19:44,Operations Control,36 hours,At Risk
SOFA 2026 Pavilion B - Artist Alley,Branding Installation,Stand readiness,Back wall,Resolve urgent requirement before pavilion handoff,Simulated note: field observation added for audit traceability.,Pavilion coordinator,Implemented,No,Yes,2026-05-15T04:32,Safety Review,26 hours,On Track
SOFA 2026 Pavilion C - Esports Arena,Safety Inspection,Floor plan validation,Main aisle,Check verification workflow status,Simulated note: dependency requires module-level review.,Pavilion coordinator,Planned,No,Yes,2026-06-12T17:47,Exhibitor Services,33 hours,On Track
SOFA 2026 Pavilion D - Maker Lab,Safety Inspection,Operational briefing,Secondary aisle,Review sparse hierarchy assignment,Simulated note: no production source connected in this public dataset.,Logistics support team,In Progress,No,No,2026-06-10T15:57,Technical Production,52 hours,On Track
SOFA 2026 Pavilion E - Retail Corridor,Safety Inspection,Floor plan validation,,Validate logistics dashboard record consistency,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,Verified,Yes,No,2026-05-14T19:09,Technical Production,64 hours,Complete
SOFA 2026 Pavilion F - Food Court,Branding Installation,Stand readiness,Storage corner,Validate logistics dashboard record consistency,Simulated note: pending site confirmation with operations lead.,Implementation tracker,In Progress,No,Yes,2026-05-23T22:11,Venue Logistics,14 hours,Pending Verification
SOFA 2026 Pavilion G - Auditorium,Branding Installation,Operational briefing,Main aisle,Validate logistics dashboard record consistency,Simulated note: no production source connected in this public dataset.,Verification reviewer,Verified,Yes,No,2026-05-07T19:22,Safety Review,8 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Inventory Handoff,Stand readiness,Main aisle,Validate logistics dashboard record consistency,Simulated note: pending site confirmation with operations lead.,Logistics support team,Planned,Yes,No,2026-06-15T17:14,Operations Control,64 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,,Stand readiness,Main aisle,Confirm implementation tracking milestone,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Verified,Yes,No,2026-06-15T04:08,Venue Logistics,10 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Inventory Handoff,Stand readiness,Storage corner,Align role description with owner team,Simulated note: dependency requires module-level review.,Pavilion coordinator,In Progress,No,No,2026-04-10T02:06,Operations Control,33 hours,Pending Verification
SOFA 2026 Pavilion D - Maker Lab,Inventory Handoff,Floor plan validation,Secondary aisle,Resolve urgent requirement before pavilion handoff,Simulated note: verification can proceed after handoff evidence.,Logistics support team,In Progress,No,Yes,2026-04-05T22:24,Safety Review,60 hours,On Track
SOFA 2026 Pavilion E - Retail Corridor,Queue Management,Power drop mapping,,Review sparse hierarchy assignment,Simulated note: verification can proceed after handoff evidence.,Implementation tracker,Planned,No,No,2026-04-08T09:07,Operations Control,65 hours,Complete
SOFA 2026 Pavilion F - Food Court,Queue Management,Equipment reception,Control point,Validate logistics dashboard record consistency,Simulated note: field observation added for audit traceability.,Implementation tracker,Implemented,No,No,2026-04-13T08:06,Infrastructure,40 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Inventory Handoff,Power drop mapping,Back wall,Validate logistics dashboard record consistency,Simulated note: dependency requires module-level review.,Pavilion coordinator,Verified,Yes,No,2026-04-08T16:23,Infrastructure,5 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Branding Installation,Power drop mapping,Back wall,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,In Progress,No,Yes,2026-06-06T21:38,Safety Review,17 hours,Blocked
SOFA 2026 Pavilion B - Artist Alley,Branding Installation,Power drop mapping,Storage corner,Review sparse hierarchy assignment,Simulated note: no production source connected in this public dataset.,Logistics support team,Verified,Yes,No,2026-05-20T04:22,Exhibitor Services,14 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Inventory Handoff,Cable protection,Zone marker,Align role description with owner team,Simulated note: field observation added for audit traceability.,Verification reviewer,Planned,No,No,2026-04-06T23:52,Exhibitor Services,7 hours,On Track
SOFA 2026 Pavilion D - Maker Lab,Access Control,Power drop mapping,Secondary aisle,Resolve urgent requirement before pavilion handoff,Simulated note: no production source connected in this public dataset.,Operational audit analyst,Not Started,No,No,2026-05-08T19:17,Exhibitor Services,7 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Inventory Handoff,Cable protection,Public-facing desk,Validate logistics dashboard record consistency,Simulated note: verification can proceed after handoff evidence.,Logistics support team,In Progress,No,No,2026-05-17T11:19,Safety Review,36 hours,Pending Verification
SOFA 2026 Pavilion F - Food Court,Access Control,Power drop mapping,Public-facing desk,Confirm implementation tracking milestone,Simulated note: no production source connected in this public dataset.,Field operations lead,Not Started,No,No,2026-05-13T11:10,Exhibitor Services,57 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Access Control,Credential checkpoint,Storage corner,Resolve urgent requirement before pavilion handoff,Simulated note: field observation added for audit traceability.,Logistics support team,Verified,Yes,No,2026-05-01T17:53,Exhibitor Services,60 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Inventory Handoff,Table and chair setup,Secondary aisle,Confirm implementation tracking milestone,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Planned,No,No,2026-04-15T21:29,Infrastructure,54 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Access Control,Table and chair setup,Secondary aisle,Document operational audit evidence,Simulated note: no production source connected in this public dataset.,Operational audit analyst,Implemented,Yes,No,2026-06-14T05:38,Exhibitor Services,72 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Inventory Handoff,Cable protection,Control point,Align role description with owner team,Simulated note: verification can proceed after handoff evidence.,Operational audit analyst,In Progress,No,No,2026-04-28T17:54,Operations Control,28 hours,Blocked
SOFA 2026 Pavilion D - Maker Lab,Access Control,Operational briefing,Storage corner,Validate logistics dashboard record consistency,Simulated note: dependency requires module-level review.,Pavilion coordinator,In Progress,No,Yes,2026-04-28T23:56,Safety Review,70 hours,At Risk
SOFA 2026 Pavilion E - Retail Corridor,Access Control,Credential checkpoint,Public-facing desk,Align role description with owner team,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Not Started,Yes,No,2026-04-17T01:32,Infrastructure,19 hours,Complete
SOFA 2026 Pavilion F - Food Court,Electrical Layout,Credential checkpoint,Zone marker,Resolve urgent requirement before pavilion handoff,Simulated note: field observation added for audit traceability.,Logistics support team,Verified,Yes,No,2026-06-06T03:12,Infrastructure,15 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Inventory Handoff,Stand readiness,Secondary aisle,Resolve urgent requirement before pavilion handoff,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,In Progress,No,No,2026-04-03T06:08,Infrastructure,13 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Electrical Layout,Credential checkpoint,Secondary aisle,Update technical note for field team,Simulated note: verification can proceed after handoff evidence.,Verification reviewer,Implemented,Yes,No,2026-06-15T02:43,Venue Logistics,55 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Access Control,Emergency corridor clearance,Zone marker,Document operational audit evidence,Simulated note: no production source connected in this public dataset.,Operational audit analyst,In Progress,No,No,2026-06-04T21:17,Operations Control,54 hours,On Track
SOFA 2026 Pavilion C - Esports Arena,Furniture Deployment,Credential checkpoint,Control point,Validate logistics dashboard record consistency,Simulated note: dependency requires module-level review.,Verification reviewer,In Progress,No,No,2026-06-16T06:20,Infrastructure,41 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Furniture Deployment,Credential checkpoint,,Confirm implementation tracking milestone,Simulated note: field observation added for audit traceability.,Verification reviewer,In Progress,No,No,2026-05-30T06:57,Operations Control,61 hours,Pending Verification
SOFA 2026 Pavilion E - Retail Corridor,Access Control,Stand readiness,,Resolve urgent requirement before pavilion handoff,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,Implemented,No,No,2026-06-07T11:43,Venue Logistics,36 hours,At Risk
SOFA 2026 Pavilion F - Food Court,,Floor plan validation,Control point,Align role description with owner team,Simulated note: pending site confirmation with operations lead.,Verification reviewer,In Progress,No,Yes,2026-04-19T16:36,Venue Logistics,21 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Furniture Deployment,Operational briefing,Control point,Check verification workflow status,Simulated note: verification can proceed after handoff evidence.,Verification reviewer,Not Started,No,No,2026-06-11T08:19,Venue Logistics,69 hours,On Track
SOFA 2026 Pavilion A - Immersive Experiences,Furniture Deployment,Operational briefing,Back wall,Validate logistics dashboard record consistency,Simulated note: no production source connected in this public dataset.,Verification reviewer,In Progress,No,No,2026-05-21T22:52,Exhibitor Services,33 hours,At Risk
SOFA 2026 Pavilion B - Artist Alley,Signal Routing,Operational briefing,,Review sparse hierarchy assignment,Simulated note: verification can proceed after handoff evidence.,Pavilion coordinator,Planned,No,Yes,2026-05-09T10:40,Exhibitor Services,42 hours,At Risk
SOFA 2026 Pavilion C - Esports Arena,Furniture Deployment,Equipment reception,,Validate logistics dashboard record consistency,Simulated note: pending site confirmation with operations lead.,Implementation tracker,In Progress,Yes,Yes,2026-04-06T16:26,Exhibitor Services,15 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Signal Routing,Floor plan validation,Main aisle,Confirm implementation tracking milestone,Simulated note: dependency requires module-level review.,Operational audit analyst,In Progress,No,No,2026-06-14T05:16,Safety Review,16 hours,Pending Verification
SOFA 2026 Pavilion E - Retail Corridor,Signal Routing,Power drop mapping,Storage corner,Confirm implementation tracking milestone,Simulated note: dependency requires module-level review.,Pavilion coordinator,Verified,Yes,No,2026-05-26T00:54,Safety Review,37 hours,Complete
SOFA 2026 Pavilion F - Food Court,Signal Routing,Table and chair setup,Secondary aisle,Update technical note for field team,Simulated note: verification can proceed after handoff evidence.,Logistics support team,Implemented,No,No,2026-04-04T07:22,Exhibitor Services,52 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Electrical Layout,Directional signage,Back wall,Validate logistics dashboard record consistency,Simulated note: dependency requires module-level review.,Logistics support team,In Progress,No,No,2026-04-19T22:33,Safety Review,32 hours,On Track
SOFA 2026 Pavilion A - Immersive Experiences,Signal Routing,Table and chair setup,Public-facing desk,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Field operations lead,In Progress,No,No,2026-04-15T16:57,Infrastructure,36 hours,On Track
SOFA 2026 Pavilion B - Artist Alley,Furniture Deployment,Power drop mapping,Control point,Confirm implementation tracking milestone,Simulated note: field observation added for audit traceability.,Logistics support team,Implemented,No,No,2026-06-15T09:13,Technical Production,31 hours,At Risk
SOFA 2026 Pavilion C - Esports Arena,Signal Routing,Floor plan validation,Main aisle,Document operational audit evidence,Simulated note: dependency requires module-level review.,Logistics support team,Implemented,No,No,2026-04-12T02:09,Technical Production,52 hours,On Track
SOFA 2026 Pavilion D - Maker Lab,,Cable protection,Control point,Align role description with owner team,Simulated note: verification can proceed after handoff evidence.,Verification reviewer,In Progress,Yes,No,2026-04-18T07:30,Operations Control,70 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Furniture Deployment,Cable protection,Back wall,Validate logistics dashboard record consistency,Simulated note: pending site confirmation with operations lead.,Implementation tracker,Implemented,No,Yes,2026-04-24T02:52,Operations Control,65 hours,On Track
SOFA 2026 Pavilion F - Food Court,Furniture Deployment,Emergency corridor clearance,Storage corner,Document operational audit evidence,Simulated note: pending site confirmation with operations lead.,Verification reviewer,Not Started,No,No,2026-06-02T11:36,Technical Production,72 hours,Complete
SOFA 2026 Pavilion G - Auditorium,,Power drop mapping,Secondary aisle,Check verification workflow status,Simulated note: pending site confirmation with operations lead.,Logistics support team,Implemented,No,No,2026-04-28T08:18,Safety Review,30 hours,On Track
SOFA 2026 Pavilion A - Immersive Experiences,Safety Inspection,Emergency corridor clearance,Control point,Resolve urgent requirement before pavilion handoff,Simulated note: field observation added for audit traceability.,Implementation tracker,Planned,No,No,2026-04-22T10:50,Safety Review,8 hours,On Track
SOFA 2026 Pavilion B - Artist Alley,Signal Routing,Table and chair setup,Zone marker,Resolve urgent requirement before pavilion handoff,Simulated note: no production source connected in this public dataset.,Implementation tracker,In Progress,No,No,2026-05-03T21:49,Exhibitor Services,64 hours,Pending Verification
SOFA 2026 Pavilion C - Esports Arena,Queue Management,Table and chair setup,Secondary aisle,Align role description with owner team,Simulated note: verification can proceed after handoff evidence.,Logistics support team,In Progress,No,No,2026-06-04T16:53,Venue Logistics,56 hours,On Track
SOFA 2026 Pavilion D - Maker Lab,Signal Routing,Credential checkpoint,Zone marker,Check verification workflow status,Simulated note: verification can proceed after handoff evidence.,Operational audit analyst,Not Started,No,No,2026-04-24T07:41,Exhibitor Services,2 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Safety Inspection,Emergency corridor clearance,Main aisle,Validate logistics dashboard record consistency,Simulated note: dependency requires module-level review.,Logistics support team,Planned,No,Yes,2026-04-23T08:07,Exhibitor Services,29 hours,On Track
SOFA 2026 Pavilion F - Food Court,Signal Routing,Directional signage,Back wall,Resolve urgent requirement before pavilion handoff,Simulated note: no production source connected in this public dataset.,Implementation tracker,Implemented,No,No,2026-04-26T06:33,Safety Review,62 hours,At Risk
SOFA 2026 Pavilion G - Auditorium,Safety Inspection,Operational briefing,Public-facing desk,Confirm implementation tracking milestone,Simulated note: field observation added for audit traceability.,Field operations lead,In Progress,No,Yes,2026-04-18T13:55,Infrastructure,4 hours,At Risk
SOFA 2026 Pavilion A - Immersive Experiences,,Operational briefing,Public-facing desk,Align role description with owner team,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Implemented,No,No,2026-04-25T18:36,Exhibitor Services,58 hours,On Track
SOFA 2026 Pavilion B - Artist Alley,Branding Installation,Cable protection,Public-facing desk,Check verification workflow status,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,Implemented,No,No,2026-05-02T03:37,Exhibitor Services,41 hours,On Track
SOFA 2026 Pavilion C - Esports Arena,Safety Inspection,Emergency corridor clearance,Main aisle,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,Verified,Yes,Yes,2026-05-02T20:16,Technical Production,35 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Safety Inspection,Operational briefing,Storage corner,Validate logistics dashboard record consistency,Simulated note: field observation added for audit traceability.,Implementation tracker,Verified,Yes,No,2026-04-07T21:23,Exhibitor Services,32 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Safety Inspection,Stand readiness,Storage corner,Confirm implementation tracking milestone,Simulated note: dependency requires module-level review.,Pavilion coordinator,Implemented,No,No,2026-04-16T18:03,Infrastructure,29 hours,Blocked
SOFA 2026 Pavilion F - Food Court,Safety Inspection,Emergency corridor clearance,Control point,Validate logistics dashboard record consistency,Simulated note: no production source connected in this public dataset.,Pavilion coordinator,Planned,No,No,2026-05-13T07:36,Safety Review,39 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Queue Management,Operational briefing,Main aisle,Check verification workflow status,Simulated note: verification can proceed after handoff evidence.,Operational audit analyst,Planned,No,No,2026-04-27T13:37,Exhibitor Services,32 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Branding Installation,Credential checkpoint,,Check verification workflow status,Simulated note: pending site confirmation with operations lead.,Implementation tracker,In Progress,Yes,No,2026-04-01T11:13,Infrastructure,21 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Inventory Handoff,Stand readiness,Storage corner,Document operational audit evidence,Simulated note: dependency requires module-level review.,Field operations lead,Verified,Yes,Yes,2026-06-01T00:15,Venue Logistics,53 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Inventory Handoff,Floor plan validation,,Document operational audit evidence,Simulated note: verification can proceed after handoff evidence.,Implementation tracker,Verified,Yes,No,2026-06-09T09:30,Operations Control,65 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Branding Installation,Power drop mapping,Storage corner,Review sparse hierarchy assignment,Simulated note: field observation added for audit traceability.,Operational audit analyst,Planned,No,No,2026-06-04T19:17,Infrastructure,37 hours,At Risk
SOFA 2026 Pavilion E - Retail Corridor,Branding Installation,Power drop mapping,,Update technical note for field team,Simulated note: dependency requires module-level review.,Verification reviewer,In Progress,Yes,No,2026-04-29T19:49,Exhibitor Services,38 hours,Complete
SOFA 2026 Pavilion F - Food Court,Branding Installation,Floor plan validation,Back wall,Confirm implementation tracking milestone,Simulated note: verification can proceed after handoff evidence.,Logistics support team,In Progress,No,Yes,2026-05-09T07:14,Exhibitor Services,17 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Branding Installation,Equipment reception,,Validate logistics dashboard record consistency,Simulated note: dependency requires module-level review.,Operational audit analyst,Verified,Yes,No,2026-04-21T08:59,Infrastructure,64 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Branding Installation,Equipment reception,Public-facing desk,Update technical note for field team,Simulated note: field observation added for audit traceability.,Logistics support team,Implemented,No,No,2026-04-11T07:48,Exhibitor Services,12 hours,Pending Verification
SOFA 2026 Pavilion B - Artist Alley,Inventory Handoff,Power drop mapping,Zone marker,Update technical note for field team,Simulated note: verification can proceed after handoff evidence.,Pavilion coordinator,Implemented,No,No,2026-05-24T07:12,Technical Production,70 hours,Pending Verification
SOFA 2026 Pavilion C - Esports Arena,Inventory Handoff,Floor plan validation,Zone marker,Review sparse hierarchy assignment,Simulated note: verification can proceed after handoff evidence.,Operational audit analyst,Verified,Yes,No,2026-05-09T23:30,Infrastructure,20 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Branding Installation,Equipment reception,Secondary aisle,Validate logistics dashboard record consistency,Simulated note: pending site confirmation with operations lead.,Logistics support team,Planned,Yes,No,2026-05-15T01:34,Technical Production,19 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Access Control,Power drop mapping,Secondary aisle,Check verification workflow status,Simulated note: no production source connected in this public dataset.,Pavilion coordinator,Planned,No,No,2026-06-10T03:15,Exhibitor Services,54 hours,On Track
SOFA 2026 Pavilion F - Food Court,Access Control,Table and chair setup,Main aisle,Review sparse hierarchy assignment,Simulated note: field observation added for audit traceability.,Field operations lead,Planned,No,Yes,2026-05-01T21:14,Venue Logistics,70 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Inventory Handoff,Power drop mapping,,Confirm implementation tracking milestone,Simulated note: field observation added for audit traceability.,Implementation tracker,Planned,Yes,No,2026-06-07T06:05,Venue Logistics,64 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Electrical Layout,Cable protection,Main aisle,Document operational audit evidence,Simulated note: dependency requires module-level review.,Verification reviewer,Planned,No,No,2026-05-09T12:23,Exhibitor Services,46 hours,Pending Verification
SOFA 2026 Pavilion B - Artist Alley,Access Control,Cable protection,Zone marker,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Implementation tracker,Planned,No,No,2026-04-26T22:16,Technical Production,30 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Inventory Handoff,Directional signage,Zone marker,Update technical note for field team,Simulated note: verification can proceed after handoff evidence.,Field operations lead,In Progress,No,No,2026-05-12T14:16,Safety Review,41 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Inventory Handoff,Credential checkpoint,Back wall,Update technical note for field team,Simulated note: field observation added for audit traceability.,Implementation tracker,Implemented,No,No,2026-06-01T15:55,Venue Logistics,3 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Inventory Handoff,Directional signage,Main aisle,Review sparse hierarchy assignment,Simulated note: no production source connected in this public dataset.,Verification reviewer,Implemented,No,Yes,2026-06-02T01:59,Operations Control,39 hours,Pending Verification
SOFA 2026 Pavilion F - Food Court,Inventory Handoff,Table and chair setup,Control point,Document operational audit evidence,Simulated note: no production source connected in this public dataset.,Field operations lead,Verified,Yes,No,2026-05-31T00:23,Infrastructure,61 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Inventory Handoff,Directional signage,Public-facing desk,Check verification workflow status,Simulated note: field observation added for audit traceability.,Logistics support team,Implemented,No,Yes,2026-05-28T11:50,Venue Logistics,26 hours,On Track
SOFA 2026 Pavilion A - Immersive Experiences,Electrical Layout,Directional signage,Storage corner,Update technical note for field team,Simulated note: dependency requires module-level review.,Field operations lead,In Progress,No,Yes,2026-04-19T19:08,Operations Control,31 hours,At Risk
SOFA 2026 Pavilion B - Artist Alley,Electrical Layout,Emergency corridor clearance,Back wall,Check verification workflow status,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,Implemented,No,Yes,2026-05-18T02:32,Operations Control,33 hours,On Track
SOFA 2026 Pavilion C - Esports Arena,Access Control,Emergency corridor clearance,,Document operational audit evidence,Simulated note: pending site confirmation with operations lead.,Logistics support team,In Progress,No,No,2026-04-30T12:31,Venue Logistics,47 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Electrical Layout,Operational briefing,Control point,Confirm implementation tracking milestone,Simulated note: dependency requires module-level review.,Logistics support team,Implemented,No,No,2026-05-18T19:53,Exhibitor Services,21 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Electrical Layout,Cable protection,Back wall,Check verification workflow status,Simulated note: dependency requires module-level review.,Verification reviewer,Planned,No,No,2026-05-09T09:40,Operations Control,46 hours,On Track
SOFA 2026 Pavilion F - Food Court,Electrical Layout,Stand readiness,Control point,Document operational audit evidence,Simulated note: field observation added for audit traceability.,Verification reviewer,In Progress,No,No,2026-05-16T17:02,Operations Control,2 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Access Control,Operational briefing,Control point,Check verification workflow status,Simulated note: pending site confirmation with operations lead.,Pavilion coordinator,Not Started,No,No,2026-05-07T09:45,Infrastructure,64 hours,Pending Verification
SOFA 2026 Pavilion A - Immersive Experiences,Furniture Deployment,Emergency corridor clearance,,Review sparse hierarchy assignment,Simulated note: field observation added for audit traceability.,Verification reviewer,In Progress,Yes,No,2026-04-16T23:40,Venue Logistics,6 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Electrical Layout,Stand readiness,Storage corner,Document operational audit evidence,Simulated note: field observation added for audit traceability.,Pavilion coordinator,Planned,No,No,2026-05-24T03:50,Venue Logistics,70 hours,On Track
SOFA 2026 Pavilion C - Esports Arena,Electrical Layout,Floor plan validation,Control point,Resolve urgent requirement before pavilion handoff,Simulated note: no production source connected in this public dataset.,Logistics support team,Implemented,No,No,2026-06-09T12:34,Exhibitor Services,69 hours,Blocked
SOFA 2026 Pavilion D - Maker Lab,Furniture Deployment,Equipment reception,Secondary aisle,Validate logistics dashboard record consistency,Simulated note: verification can proceed after handoff evidence.,Verification reviewer,Implemented,No,No,2026-05-09T15:47,Safety Review,51 hours,At Risk
SOFA 2026 Pavilion E - Retail Corridor,Electrical Layout,Equipment reception,Control point,Align role description with owner team,Simulated note: pending site confirmation with operations lead.,Verification reviewer,Verified,Yes,No,2026-04-24T05:59,Operations Control,62 hours,Complete
SOFA 2026 Pavilion F - Food Court,Signal Routing,Equipment reception,Storage corner,Align role description with owner team,Simulated note: pending site confirmation with operations lead.,Field operations lead,In Progress,Yes,No,2026-06-12T15:09,Venue Logistics,71 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Electrical Layout,Equipment reception,Back wall,Align role description with owner team,Simulated note: verification can proceed after handoff evidence.,Implementation tracker,Not Started,No,No,2026-04-30T00:29,Exhibitor Services,29 hours,On Track
SOFA 2026 Pavilion A - Immersive Experiences,Furniture Deployment,Equipment reception,Control point,Review sparse hierarchy assignment,Simulated note: field observation added for audit traceability.,Logistics support team,Implemented,No,No,2026-04-06T13:48,Safety Review,50 hours,Blocked
SOFA 2026 Pavilion B - Artist Alley,Signal Routing,Power drop mapping,Secondary aisle,Update technical note for field team,Simulated note: field observation added for audit traceability.,Implementation tracker,Verified,Yes,No,2026-05-30T06:10,Operations Control,68 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Signal Routing,Table and chair setup,Back wall,Document operational audit evidence,Simulated note: verification can proceed after handoff evidence.,Pavilion coordinator,Implemented,No,Yes,2026-05-18T09:09,Safety Review,63 hours,At Risk
SOFA 2026 Pavilion D - Maker Lab,Signal Routing,Directional signage,Back wall,Review sparse hierarchy assignment,Simulated note: field observation added for audit traceability.,Logistics support team,In Progress,No,No,2026-04-04T09:05,Venue Logistics,13 hours,On Track
SOFA 2026 Pavilion E - Retail Corridor,Safety Inspection,Equipment reception,Back wall,Validate logistics dashboard record consistency,Simulated note: pending site confirmation with operations lead.,Implementation tracker,Implemented,No,Yes,2026-06-15T14:05,Operations Control,49 hours,On Track
SOFA 2026 Pavilion F - Food Court,Signal Routing,Equipment reception,Storage corner,Resolve urgent requirement before pavilion handoff,Simulated note: dependency requires module-level review.,Implementation tracker,In Progress,No,No,2026-04-15T09:03,Exhibitor Services,42 hours,Pending Verification
SOFA 2026 Pavilion G - Auditorium,Signal Routing,Floor plan validation,Back wall,Resolve urgent requirement before pavilion handoff,Simulated note: verification can proceed after handoff evidence.,Operational audit analyst,Verified,Yes,No,2026-04-06T14:01,Operations Control,68 hours,Complete
